,,,,,
,,,,,
,TIPO CONSULTA,MES,CANAL ,CANTIDAD,PORCENTAJE
,Certificación Digital,FEBRERO,CHAT,8,0.24 %
,Archivo Registral,FEBRERO,CHAT,20,0.59 %
,Agencias/Horarios/Anexos,FEBRERO,CHAT,34,1.01 %
,Citas Especiales,FEBRERO,CHAT,2,0.06 %
,Incidencias/Sugerencias,FEBRERO,CHAT,594,17.67 %
,Servicios en Línea,FEBRERO,CHAT,4,0.12 %
,Estado de Trámite,FEBRERO,CHAT,108,3.21 %
,Otros,FEBRERO,CHAT,331,9.85 %
,DNI /DNIe,FEBRERO,CENTRAL,733,6.23 %
,Certificaciones y Habilitaciones,FEBRERO,CENTRAL,4,0.03 %
,Registros Civiles,FEBRERO,CENTRAL,6,0.05 %
,Agencias/Horarios,FEBRERO,CENTRAL,277,2.36 %
,Estado de Trámite,FEBRERO,CENTRAL,552,4.70 %
,Otros,FEBRERO,CENTRAL,183,1.56 %
,Anexos,FEBRERO,CENTRAL,"10,002",85.07 %
,DNI Mayor,MARZO,ALÓ RENIEC,"3,047",20.81 %
,DNI Menor,MARZO,ALÓ RENIEC,541,3.69 %
,DNI Electrónico,MARZO,ALÓ RENIEC,"1,754",11.98 %
,Certificaciones y Habilitaciones,MARZO,ALÓ RENIEC,650,4.44 %
,Registros Civiles,MARZO,ALÓ RENIEC,"3,727",25.45 %
,Proceso Electoral,MARZO,ALÓ RENIEC,2,0.01 %
,Certificación Digital,MARZO,ALÓ RENIEC,89,0.61 %
,Archivo Registral,MARZO,ALÓ RENIEC,171,1.17 %
,Vínculo de Parentesco,MARZO,ALÓ RENIEC,1,0.01 %
,Agencias/Horarios/Anexos,MARZO,ALÓ RENIEC,627,4.28 %
,Citas Especiales,MARZO,ALÓ RENIEC,28,0.19 %
,Incidencias/Sugerencias,MARZO,ALÓ RENIEC,129,0.88 %
,Servicios en Línea,MARZO,ALÓ RENIEC,21,0.14 %
,Estado de Trámite,MARZO,ALÓ RENIEC,"2,591",17.69 %
,Otros,MARZO,ALÓ RENIEC,"1,266",8.65 %
,DNI Mayor,MARZO,CORREO,563,11.00 %
,DNI Menor,MARZO,CORREO,62,1.21 %
,DNI Electrónico,MARZO,CORREO,257,5.02 %
,Certificaciones y Habilitaciones,MARZO,CORREO,207,4.04 %
,Registros Civiles,MARZO,CORREO,812,15.86 %
,Proceso Electoral,MARZO,CORREO,3,0.06 %
,Certificación Digital,MARZO,CORREO,18,0.35 %
,Archivo Registral,MARZO,CORREO,28,0.55 %
,Agencias/Horarios/Anexos,MARZO,CORREO,57,1.11 %
,Citas Especiales,MARZO,CORREO,379,7.40 %
,Incidencias/Sugerencias,MARZO,CORREO,387,7.56 %
,Servicios en Línea,MARZO,CORREO,15,0.29 %
,Estado de Trámite,MARZO,CORREO,"1,555",30.37 %
,Otros,MARZO,CORREO,777,15.18 %
,DNI Mayor,MARZO,REDES,912,14.97 %
,DNI Menor,MARZO,REDES,297,4.87 %
,DNI Electrónico,MARZO,REDES,665,10.91 %
,Certificaciones y Habilitaciones,MARZO,REDES,57,0.94 %
,Registros Civiles,MARZO,REDES,"1,155",18.96 %
,Certificación Digital,MARZO,REDES,13,0.21 %
,Archivo Registral,MARZO,REDES,17,0.28 %
,Agencias/Horarios/Anexos,MARZO,REDES,707,11.60 %
,Citas Especiales,MARZO,REDES,42,0.69 %
,Incidencias/Sugerencias,MARZO,REDES,412,6.76 %
,Estado de Trámite,MARZO,REDES,739,12.13 %
,Otros,MARZO,REDES,"1,077",17.68 %
,DNI Mayor,MARZO,CHAT,82,3.78 %
,DNI Menor,MARZO,CHAT,24,1.11 %
,DNI Electrónico,MARZO,CHAT,53,2.44 %
,Certificaciones y Habilitaciones,MARZO,CHAT,66,3.04 %
,Registros Civiles,MARZO,CHAT,"1,390",64.08 %
,Certificación Digital,MARZO,CHAT,15,0.69 %
,Archivo Registral,MARZO,CHAT,9,0.41 %
,Agencias/Horarios/Anexos,MARZO,CHAT,14,0.65 %
,Citas Especiales,MARZO,CHAT,1,0.05 %
,Incidencias/Sugerencias,MARZO,CHAT,219,10.10 %
,Servicios en Línea,MARZO,CHAT,1,0.05 %
,Estado de Trámite,MARZO,CHAT,68,3.14 %
,Otros,MARZO,CHAT,227,10.47 %
,DNI /DNIe,MARZO,CENTRAL,471,5.16 %
,Certificaciones y Habilitaciones,MARZO,CENTRAL,7,0.08 %
,Registros Civiles,MARZO,CENTRAL,4,0.04 %
,Agencias/Horarios,MARZO,CENTRAL,127,1.39 %
,Estado de Trámite,MARZO,CENTRAL,448,4.91 %
,Otros,MARZO,CENTRAL,127,1.39 %
,Anexos,MARZO,CENTRAL,"7,944",87.03 %
,DNI Mayor,ABRIL,ALÓ RENIEC,"2,967",20.63 %
,DNI Menor,ABRIL,ALÓ RENIEC,551,3.83 %
,DNI Electrónico,ABRIL,ALÓ RENIEC,"1,922",13.36 %
,Certificaciones y Habilitaciones,ABRIL,ALÓ RENIEC,564,3.92 %
,Registros Civiles,ABRIL,ALÓ RENIEC,"3,237",22.51 %
,Proceso Electoral,ABRIL,ALÓ RENIEC,8,0.06 %
,Certificación Digital,ABRIL,ALÓ RENIEC,47,0.33 %
,Archivo Registral,ABRIL,ALÓ RENIEC,232,1.61 %
,Agencias/Horarios/Anexos,ABRIL,ALÓ RENIEC,629,4.37 %
,Citas Especiales,ABRIL,ALÓ RENIEC,33,0.23 %
,Incidencias/Sugerencias,ABRIL,ALÓ RENIEC,130,0.90 %
,Servicios en Línea,ABRIL,ALÓ RENIEC,28,0.19 %
,Estado de Trámite,ABRIL,ALÓ RENIEC,"2,736",19.02 %
,Otros,ABRIL,ALÓ RENIEC,"1,298",9.03 %
,DNI Mayor,ABRIL,CORREO,756,11.86 %
,DNI Menor,ABRIL,CORREO,64,1.00 %
,DNI Electrónico,ABRIL,CORREO,280,4.39 %
,Certificaciones y Habilitaciones,ABRIL,CORREO,138,2.16 %
,Registros Civiles,ABRIL,CORREO,948,14.87 %
,Proceso Electoral,ABRIL,CORREO,1,0.02 %
,Certificación Digital,ABRIL,CORREO,8,0.13 %
,Archivo Registral,ABRIL,CORREO,43,0.67 %
,Vínculo de Parentesco,ABRIL,CORREO,3,0.05 %
,Agencias/Horarios/Anexos,ABRIL,CORREO,101,1.58 %
,Citas Especiales,ABRIL,CORREO,490,7.68 %
,Incidencias/Sugerencias,ABRIL,CORREO,514,8.08 %
,Servicios en Línea,ABRIL,CORREO,25,0.39 %
,Estado de Trámite,ABRIL,CORREO,"2,029",31.82 %
,Otros,ABRIL,CORREO,976,15.31 %
,DNI Mayor,ABRIL,REDES,"1,109",16.14 %
,DNI Menor,ABRIL,REDES,385,5.60 %
,DNI Electrónico,ABRIL,REDES,776,11.29 %
,Certificaciones y Habilitaciones,ABRIL,REDES,42,0.61 %
